Food_Type,Weight,Date+Time,Carbon_Footprint
Bread,0,10/12/2021 19:59:24,0

Bread,0,10/12/2021 20:20:42,0

Bread,0,12/12/2021 00:21:56,0

Bread,0,12/12/2021 00:30:49,0

